,birth_date,city,country,current_team,first_name,height,is_active,last_name,state,weight
0,,,,3,Morgan,,True,Harper,,
1,1988-07-31,Auckland,NZ,1,Alex,182.0,True,Glenn,,101.0
2,1990-01-30,Dalby,AUS,1,Andrew,180.0,True,McCullough,QLD,90.0
3,2000-02-25,Brisbane,AUS,1,David,186.0,True,Fifita,QLD,107.0
4,1996-10-18,Brisbane,AUS,1,George,187.0,True,Fai,QLD,111.0
5,1996-11-16,Brisbane,AUS,1,Jake,178.0,True,Turpin,QLD,82.0
6,1990-11-11,Goroka,PNG,1,James,170.0,True,Segeyaro,,86.0
7,1997-10-23,Auckland,NZ,1,Jaydn,188.0,True,Su'A,,100.0
8,1995-09-15,Auckland,NZ,1,Joe,190.0,True,Ofahengaue,,113.0
9,1988-08-12,Macksville,AUS,1,Matt,186.0,True,Gillett,NSW,100.0
10,1995-05-31,Blacktown,AUS,1,Matthew,191.0,True,Lodge,NSW,121.0
11,1998-01-01,-,,1,Patrick,190.0,True,Carrigan,,104.0
12,1994-12-04,Otahuhu,NZ,1,Patrick,187.0,True,Mago,,113.0
13,1999-12-02,Newcastle,AUS,1,Payne,194.0,True,Haas,NSW,119.0
14,1986-12-08,Lower Hutt,NZ,1,Sam,193.0,True,Tagataese,,108.0
15,1988-10-10,Camden,AUS,1,Shaun,182.0,True,Fensom,NSW,100.0
16,1996-02-04,Sydney,AUS,1,Tevita,190.0,True,PangaiJunior,NSW,113.0
17,1999-08-19,-,,1,Thomas,190.0,True,Flegler,,108.0
18,1994-07-11,Brisbane,AUS,1,Anthony,177.0,True,Milford,QLD,92.0
19,1994-10-20,Biloela,AUS,1,Corey,192.0,True,Oates,QLD,105.0
20,2000-01-27,Toowoomba,AUS,1,Cory,178.0,True,Paix,QLD,85.0
21,1987-07-17,Brisbane,AUS,1,Darius,184.0,True,Boyd,QLD,93.0
22,1998-02-18,Townsville,AUS,1,Gehamat,184.0,True,Shibasaki,QLD,96.0
23,1997-05-17,-,,1,Izaia,,True,Perese,,
24,1995-03-20,Wollongong,AUS,1,Jack,183.0,True,Bird,NSW,96.0
25,1996-06-06,Christchurch,NZ,1,Jamayne,180.0,True,Isaako,,95.0
26,1993-03-03,Kempsey,AUS,1,James,183.0,True,Roberts,NSW,90.0
27,1998-10-29,Wellington,AUS,1,Kotoni,185.0,True,Staggs,NSW,92.0
28,1994-12-10,Apia,SAM,1,Richard,185.0,True,Kennar,,108.0
29,1998-08-21,Sydney,AUS,1,Sean,179.0,True,O'Sullivan,NSW,83.0
30,2001-03-13,Toowoomba,AUS,1,Tom,177.0,True,Dearden,QLD,80.0
31,1997-10-15,Sydney,AUS,1,Troy,174.0,True,Dargan,NSW,87.0
32,1991-06-24,Bankstown,AUS,2,Aidan,180.0,True,Sezer,NSW,90.0
33,1998-04-01,Canberra,AUS,2,Andre,193.0,True,Niko,ACT,97.0
34,1997-03-11,Auckland,NZ,2,Ata,183.0,True,Hingano,,92.0
35,1998-02-18,Mona Vale,AUS,2,Bailey,188.0,True,Simonsson,NSW,92.0
36,1996-12-30,Auckland,NZ,2,Brad,183.0,True,Abbey,,90.0
37,1998-10-30,Gosford,AUS,2,Brendan,172.0,True,O'Hagan,NSW,83.0
38,1995-08-02,Auckland,NZ,2,Charnze,182.0,True,Nicoll-Klokstad,,94.0
39,1993-02-04,Orange,AUS,2,Jack,189.0,True,Wighton,NSW,93.0
40,1990-09-11,Goulburn,AUS,2,Jarrod,184.0,True,Croker,NSW,93.0
41,1989-08-15,Wellington,NZ,2,Jordan,187.0,True,Rapana,,100.0
42,1991-12-12,Sydney,AUS,2,Joseph,185.0,True,Leilua,NSW,106.0
43,1990-11-24,Sydney,AUS,2,Michael,186.0,True,Oldfield,NSW,92.0
44,1998-11-18,Canberra,AUS,2,Nick,185.0,True,Cotric,ACT,98.0
45,1991-03-18,Cooma,AUS,2,Sam,179.0,True,Williams,NSW,85.0
46,1999-04-19,Canberra,AUS,2,Sebastian,182.0,True,Kris,ACT,99.0
47,,,,2,,,True,,,
48,,,,2,,,True,,,
49,,,,2,,,True,,,
50,1998-01-19,Sydney,AUS,2,Emre,191.0,True,Guler,NSW,110.0
