,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs
Matthew Dufty,18,Fullback,80:00,0,0,0,0,0,0,0,40,10,119,72,29,1,0,0,0,8,0,8,3.97s,0,0,0,0,1,5,13,0.5,100%,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nene Macdonald,2,Winger,80:00,0,0,0,0,0,0,0,13,11,93,20,35,0,0,0,0,2,0,9,4.05s,2,19,0,0,1,8,19,0.73,66.7%,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Euan Aitken,3,Centre,80:00,4,1,0,0,0,0,0,42,10,131,0,34,1,0,0,0,4,0,9,3.49s,0,0,0,0,0,4,12,0.4,87.5%,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timoteo Lafai,4,Centre,80:00,0,0,0,0,0,0,0,15,7,59,0,25,0,0,0,0,1,0,7,3.47s,0,0,0,1,0,1,11,0.14,92.9%,13,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Jason Nightingale,5,Winger,80:00,4,1,0,0,0,0,0,36,17,155,10,38,2,0,0,0,2,1,15,3.24s,2,8,0,0,1,6,23,0.35,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gareth Widdop,6,Five-Eighth,80:00,14,0,4,5,3,87.5%,0,47,8,59,0,8,0,3,2,0,1,1,3,4.57s,1,8,0,1,2,24,32,3,68.4%,13,4,2,0,0,4,95,1,1,2,0,0,0,1,1,1,1,0,0,0
Ben Hunt,7,Halfback,80:00,4,1,0,0,0,0,0,52,5,65,0,0,0,0,1,0,1,0,1,2.52s,0,0,0,1,9,41,57,8.2,87.5%,14,2,0,1,0,11,329,1,2,2,0,0,1,0,0,0,0,0,0,0
James Graham,8,Prop,51:00,0,0,0,0,0,0,0,37,14,120,7,44,0,0,0,0,1,13,12,4.53s,0,0,0,0,0,2,16,0.14,92.9%,26,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Cameron Mcinnes,9,Hooker,80:00,0,0,0,0,0,0,0,44,6,60,0,19,0,0,0,0,1,0,5,3.5s,6,60,0,1,2,104,109,17.33,96.9%,31,0,1,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Vaughan,10,Prop,54:00,0,0,0,0,0,0,0,44,18,168,69,58,0,0,0,0,2,11,14,4.34s,0,0,0,0,0,2,19,0.11,92.9%,26,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Tyson Frizell,11,2nd Row,80:00,4,1,0,0,0,0,0,36,12,116,0,45,0,0,0,0,2,12,12,3.36s,0,0,0,0,0,1,14,0.08,81%,17,1,3,0,0,1,10,0,1,0,0,0,0,0,0,0,2,0,0,0
Tariq Sims,12,2nd Row,69:00,0,0,0,0,0,0,0,28,9,80,0,33,0,0,0,0,3,9,9,3.87s,0,0,0,0,0,0,9,0,76.5%,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack De Belin,13,Lock,58:00,4,1,0,0,0,0,0,61,13,113,0,28,1,0,0,0,4,10,9,3.24s,0,0,0,1,0,4,16,0.31,88.9%,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Luciano Leilua,14,Interchange,22:00,0,0,0,0,0,0,0,9,3,32,0,14,0,0,0,0,0,3,3,3.97s,0,0,0,0,0,3,6,1,88.9%,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kurt Mann,15,Interchange,07:00,0,0,0,0,0,0,0,2,2,11,0,1,0,0,0,0,0,1,1,3.8s,0,0,0,0,0,3,5,1.5,100%,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Leeson Ah Mau,16,Interchange,39:00,0,0,0,0,0,0,0,47,15,174,39,79,0,0,0,0,3,12,12,3.86s,0,0,0,2,0,0,15,0,100%,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jeremy Latimore,19,Interchange,22:00,0,0,0,0,0,0,0,20,8,63,0,24,0,0,0,0,0,8,6,3.33s,0,0,0,2,0,0,8,0,100%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
