,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Lachlan_Coote_10,595,10,1020,1,Fullback,80:00,0,0,0,0,0,0,0,25,12,101,39,21,1,0,0,0,2,0,0,0,0,0,0,1,0,26,38,2.17,50%,4,2,2,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,80:00,0
1,Matthew_Wright_10,2219,10,1020,2,Winger,80:00,0,0,0,0,0,0,0,10,5,57,0,25,0,0,0,0,0,0,0,0,1,9,0,0,1,3,8,0.6,81.8%,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
2,Justin_O'neill_10,252,10,1020,3,Centre,80:00,0,0,0,0,0,0,0,13,11,86,14,36,0,0,0,0,1,0,0,0,1,8,0,0,0,0,11,0,80%,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
3,Kane_Linnett_10,620,10,1020,4,Centre,80:00,0,0,0,0,0,0,0,26,11,104,0,49,0,1,1,0,1,1,0,0,0,0,0,0,1,3,14,0.27,92.3%,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80:00,0
4,Antonio_Winterstein_10,517,10,1020,5,Winger,80:00,8,2,0,0,0,0,0,39,8,116,16,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0.12,83.3%,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Michael_Morgan_10,255,10,1020,6,Five-Eighth,80:00,4,1,0,0,0,0,0,40,5,48,0,12,2,0,0,0,1,0,0,0,0,0,0,0,2,13,21,2.6,93.8%,15,1,0,0,0,3,83,1,0,1,0,0,0,0,2,0,0,0,0,0,80:00,0
6,Johnathan_Thurston_10,519,10,1020,7,Halfback,80:00,12,0,4,5,2,85.71%,0,72,23,140,4,23,0,3,3,0,2,0,0,0,2,9,1,1,8,41,62,1.78,75%,15,3,2,0,1,7,199,1,1,1,0,0,1,0,1,0,1,0,0,0,80:00,0
7,Matthew_Scott_10,272,10,1020,8,Prop,51:00,0,0,0,0,0,0,0,50,17,149,46,61,0,0,0,0,1,12,0,0,0,0,0,2,0,6,21,0.35,93.9%,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51:00,0
8,Jake_Granville_10,265,10,1020,9,Hooker,58:00,4,1,0,0,0,0,0,41,8,41,0,6,0,1,0,0,0,0,0,0,7,29,0,1,2,74,74,9.25,86.1%,31,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58:00,0
9,James_Tamou_10,1770,10,1020,10,Prop,55:00,0,0,0,0,0,0,0,44,16,165,29,68,0,0,0,0,1,14,0,0,0,0,0,0,0,1,17,0.06,90.6%,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55:00,0
10,Gavin_Cooper_10,264,10,1020,11,2nd Row,80:00,4,1,0,0,0,0,0,44,10,78,0,36,1,0,0,0,1,10,0,0,0,0,0,0,0,5,19,0.5,90.3%,28,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,80:00,0
11,Ethan_Lowe_10,520,10,1020,12,2nd Row,80:00,0,0,0,0,0,0,0,38,9,85,0,44,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,91.9%,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
12,Jason_Taumalolo_10,266,10,1020,13,Lock,43:00,0,0,0,0,0,0,0,46,12,131,0,59,0,0,0,0,2,12,0,0,0,0,0,0,0,1,13,0.08,96.4%,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43:00,0
13,Rory_Kostjasyn_10,1773,10,1020,14,Interchange,22:00,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,0,87.5%,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:00,0
14,John_Asiata_10,267,10,1020,15,Interchange,31:00,0,0,0,0,0,0,0,27,13,120,10,41,0,0,0,0,0,10,0,0,0,0,0,0,3,5,17,0.38,93.3%,14,0,1,0,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,31:00,0
15,Scott_Bolton_10,276,10,1020,16,Interchange,20:00,0,0,0,0,0,0,0,24,7,82,18,29,1,0,0,0,2,5,0,0,0,0,0,0,1,2,9,0.29,80%,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:00,0
16,Ben_Hannant_10,2153,10,1020,17,Interchange,40:00,0,0,0,0,0,0,0,47,15,165,25,72,0,0,0,0,3,13,0,0,0,0,0,1,1,4,20,0.27,95.7%,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40:00,0
17,Jack_Wighton_2,40,2,1020,1,Fullback,80:00,4,1,0,0,0,0,0,66,16,175,72,41,1,3,2,0,4,0,0,0,1,16,0,0,1,7,24,0.44,77.8%,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
