,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Bevan_French_Eels,279,11,109,1,Fullback,80.0,4,1,0,0,0,,0,16,5,34,13,8,0,0,1,0,2,0,3,4.52,1,5,0,0,4,15,26,3,,0,3,1,0,1,2,30,1,0,1,0,0,0,2,1,0,0,0,0,0,80.0,,1
Josh_Hoffman_Eels,284,11,109,2,Winger,80.0,8,2,0,0,0,,0,31,13,97,9,23,1,0,0,0,1,2,11,4.1,0,0,0,0,0,2,20,0.15,1.0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,80.0,,2
Michael_Jennings_Eels,285,11,109,3,Centre,80.0,0,0,0,0,0,,0,17,4,51,0,19,0,0,0,0,1,0,3,2.48,0,0,0,0,0,2,6,0.5,0.75,21,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,3
Jarryd_Hayne_Eels,548,11,109,4,Centre,80.0,4,1,0,0,0,,0,26,13,114,23,35,0,0,0,0,0,0,13,3.86,2,16,0,0,2,5,15,0.38,0.889,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
George_Jennings_Eels,281,11,109,5,Winger,80.0,4,1,0,0,0,,0,30,8,71,20,25,1,0,0,0,2,1,7,3.17,0,0,0,0,0,1,11,0.13,0.727,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Clinton_Gutherson_Eels,280,11,109,6,Five-Eighth,80.0,4,0,2,5,0,0.4,0,43,8,58,0,8,0,1,1,0,2,0,3,4.25,0,0,0,3,5,19,26,2.38,0.833,20,4,0,0,0,2,75,0,0,0,0,0,1,0,0,0,0,0,0,0,80.0,,4
Corey_Norman_Eels,550,11,109,7,Halfback,80.0,0,0,0,0,0,,0,47,6,32,0,6,0,2,2,0,1,0,2,2.9,1,1,0,0,2,29,45,4.83,0.8,12,1,2,0,1,12,327,1,3,1,0,0,0,1,1,0,0,0,0,0,80.0,,5
Daniel_Alvaro_Eels,294,11,109,8,Prop,54.0,0,0,0,0,0,,0,48,11,106,0,47,0,0,0,0,0,11,9,3.65,0,0,0,0,0,0,11,0,0.952,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,26.4,6
Cameron_King_Eels,551,11,109,9,Hooker,47.0,0,0,0,0,0,,0,19,1,2,0,0,0,0,0,0,0,0,1,3.12,1,2,0,0,1,61,60,61,0.955,21,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33.21,14.18,7
Tim_Mannah_Eels,306,11,109,15,Prop,35.0,0,0,0,0,0,,0,31,11,116,40,36,0,0,0,0,1,8,10,3.76,0,0,0,0,1,0,11,0,1.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.24,15.13,6
