,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
James_Tedesco_Roosters,432,15,10,1,Fullback,80.0,4,1,0,0,0,,0,70,14,202,40,29,2,0,2,0,6,0,7,4.86,0,0,0,1,3,14,24,1,0.6,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,1
Daniel_Tupou_Roosters,431,15,10,2,Winger,30.0,0,0,0,0,0,,0,6,8,81,0,16,0,0,0,0,1,0,5,3.23,0,0,0,1,1,0,8,0,0.333,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29.21,,2
Latrell_Mitchell_Roosters,486,15,10,3,Centre,80.0,10,0,3,5,2,0.714,0,37,10,161,33,25,0,0,0,0,3,1,9,3.39,0,0,0,0,0,5,14,0.5,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,80.0,,3
Joseph_Manu_Roosters,433,15,10,4,Centre,80.0,0,0,0,0,0,,0,17,10,97,0,25,0,0,0,0,1,1,7,3.96,1,5,0,3,0,4,15,0.4,0.563,9,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,3
Blake_Ferguson_Roosters,487,15,10,5,Winger,80.0,4,1,0,0,0,,0,42,23,223,82,59,0,0,0,0,3,1,19,3.46,0,0,0,1,0,3,27,0.13,1.0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,2
Luke_Keary_Roosters,435,15,10,6,Five-Eighth,80.0,4,1,0,0,0,,0,42,13,137,0,7,0,2,2,0,0,0,5,4.58,0,0,0,0,2,20,30,1.54,0.846,11,0,2,0,0,2,49,0,2,0,0,0,0,2,1,0,1,0,0,0,80.0,,4
Cooper_Cronk_Roosters,430,15,10,7,Halfback,80.0,4,1,0,0,0,,0,40,6,59,0,2,0,0,0,0,0,0,2,4.8,0,0,0,0,4,35,49,5.83,0.85,17,2,1,0,0,11,285,0,5,1,0,1,0,0,0,0,0,0,0,0,80.0,,5
Jared_Waerea-hargreaves_Roosters,414,15,10,8,Prop,42.0,0,0,0,0,0,,0,35,8,61,8,21,0,0,0,0,0,7,7,3.71,0,0,0,0,1,0,8,0,0.943,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,20.59,6
Jake_Friend_Roosters,413,15,10,9,Hooker,57.0,0,0,0,0,0,,0,57,4,28,0,5,1,0,1,0,3,3,1,2.96,1,17,0,0,1,78,75,19.5,0.918,45,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,26.53,30.23,7
Siosiua_Taukeiaho_Roosters,421,15,10,10,Prop,57.0,0,0,0,0,0,,0,43,10,118,7,28,0,0,0,0,0,9,10,4.29,0,0,1,0,3,0,10,0,0.895,34,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.47,30.03,6
Boyd_Cordner_Roosters,409,15,10,11,2nd Row,80.0,0,0,0,0,0,,0,26,12,92,1,32,0,0,0,0,0,11,9,3.66,0,0,0,0,0,6,19,0.5,0.861,31,2,3,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,80.0,,8
Ryan_Matterson_Roosters,488,15,10,16,2nd Row,80.0,4,1,0,0,0,,0,61,12,109,0,25,1,0,0,0,1,12,9,4.48,0,0,0,0,0,2,14,0.17,0.95,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Isaac_Liu_Roosters,412,15,10,13,Lock,40.0,0,0,0,0,0,,0,22,11,124,12,37,0,0,0,0,0,10,11,3.47,0,0,0,0,2,1,13,0.09,0.955,21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,49.37,,9
Dylan_Napa_Roosters,489,15,10,14,Interchange,60.0,0,0,0,0,0,,0,47,12,163,35,38,1,0,0,0,2,10,11,4.25,0,0,0,1,2,0,12,0,0.853,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59.14,,10
Zane_Tetevano_Roosters,424,15,10,15,Interchange,32.0,0,0,0,0,0,,0,23,6,53,13,11,0,0,0,0,0,5,5,4.14,0,0,0,1,0,2,8,0.33,0.889,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14,,10
Victor_Radley_Roosters,423,15,10,17,Interchange,53.0,0,0,0,0,0,,0,27,5,35,0,9,0,0,0,0,0,4,4,4.12,0,0,0,0,1,29,33,5.8,0.895,34,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,53.07,,10
Mitchell_Aubusson_Roosters,417,15,10,12,Interchange,21.0,0,0,0,0,0,,0,11,3,33,0,6,0,0,0,0,1,0,3,4.15,0,0,0,0,0,0,3,0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.39,,10
Moses_Mbye_Bulldogs,490,3,10,1,Fullback,80.0,4,0,2,2,0,1.0,0,45,16,154,38,24,1,0,0,0,2,0,12,3.43,3,27,0,0,5,18,37,1.13,0.714,10,3,1,0,4,5,174,0,1,0,0,1,0,0,0,0,0,0,0,0,80.0,,1
Brett_Morris_Bulldogs,491,3,10,2,Winger,80.0,0,0,0,0,0,,0,24,8,60,21,18,0,0,0,0,6,0,7,3.26,1,8,0,0,0,3,11,0.38,0.429,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Josh_Morris_Bulldogs,492,3,10,3,Centre,80.0,4,1,0,0,0,,0,29,8,82,0,8,0,0,0,0,1,0,4,2.91,1,8,0,3,0,4,11,0.5,0.667,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Will_Hopoate_Bulldogs,84,3,10,4,Centre,80.0,0,0,0,0,0,,0,35,15,116,0,29,0,1,0,0,1,0,11,4.32,0,0,0,1,1,9,18,0.6,0.875,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Marcelo_Montoya_Bulldogs,82,3,10,5,Winger,80.0,0,0,0,0,0,,0,15,10,65,3,21,0,0,0,0,2,1,12,3.47,0,0,0,0,0,4,16,0.4,0.857,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80.0,,2
Matt_Frawley_Bulldogs,493,3,10,6,Five-Eighth,80.0,0,0,0,0,0,,0,45,11,98,17,9,1,0,1,0,5,0,5,3.22,0,0,0,1,5,28,37,2.55,0.846,11,1,1,0,1,3,90,0,0,0,0,0,0,0,0,0,2,0,0,0,80.0,,4
Kieran_Foran_Bulldogs,80,3,10,7,Halfback,80.0,0,0,0,0,0,,0,37,24,107,0,5,0,0,0,0,1,0,4,5.2,0,0,0,0,9,45,60,1.88,0.84,21,4,0,0,0,9,315,0,0,0,0,1,0,2,2,0,0,0,0,0,80.0,,5
Aaron_Woods_Bulldogs,494,3,10,8,Prop,58.0,0,0,0,0,0,,0,44,16,135,0,39,0,0,0,0,0,13,9,3.2,0,0,0,3,0,5,18,0.31,0.939,31,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,19.32,39.05,6
Michael_Lichaa_Bulldogs,68,3,10,9,Hooker,58.0,0,0,0,0,0,,0,37,9,79,0,17,0,0,0,0,0,1,6,3.58,8,71,0,1,1,71,76,7.89,0.968,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.07,,7
David_Klemmer_Bulldogs,495,3,10,10,Prop,56.0,0,0,0,0,0,,0,42,22,150,0,56,0,0,0,0,1,20,18,3.7,0,0,0,1,0,5,25,0.23,1.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.15,28.23,6
Josh_Jackson_Bulldogs,67,3,10,11,2nd Row,79.0,4,1,0,0,0,,0,66,13,91,0,19,2,0,0,0,2,13,7,3.61,0,0,0,2,1,2,15,0.15,0.949,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.0,39.59,8
Raymond_Faitala-mariner_Bulldogs,70,3,10,12,2nd Row,80.0,0,0,0,0,0,,0,33,15,108,0,38,0,0,0,0,1,14,12,3.66,1,5,0,1,0,0,15,0,0.889,24,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
Adam_Elliott_Bulldogs,61,3,10,14,Lock,39.0,0,0,0,0,0,,0,22,9,55,0,14,0,0,0,0,0,8,8,3.63,0,0,0,0,0,2,10,0.22,1.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.27,20.02,9
