,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Caleb_Aekins_Panthers,315,12,129,1,Fullback,80.0,0,0,0,0,0,,0,60,27,303,138,76,1,0,0,0,7,2,22,3.36,2,11,0,1,1,13,38,0.48,0.571,4,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,1
Christian_Crichton_Panthers,573,12,129,2,Winger,80.0,0,0,0,0,0,,0,25,15,104,9,40,0,0,0,0,5,0,10,2.58,1,11,0,1,1,3,16,0.2,0.571,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Waqa_Blake_Panthers,326,12,129,3,Centre,80.0,4,1,0,0,0,,0,63,17,152,0,56,1,0,0,0,8,1,12,3.59,1,4,1,2,0,6,22,0.35,0.857,6,0,1,0,1,1,11,0,0,1,0,0,0,1,1,0,1,0,0,0,80.0,,3
Dean_Whare_Panthers,318,12,129,4,Centre,80.0,0,0,0,0,0,,0,29,11,71,0,21,0,1,0,0,6,1,6,3.12,3,10,0,1,3,11,17,1,0.667,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Tyrone_Phillips_Panthers,612,12,129,5,Winger,80.0,0,0,0,0,0,,0,18,15,115,0,35,0,1,0,0,1,1,10,2.86,1,8,0,3,0,5,20,0.33,0.5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,2
Tyrone_May_Panthers,325,12,129,6,Five-Eighth,80.0,0,0,0,0,0,,0,44,10,53,0,8,0,2,2,0,2,0,4,4.16,0,0,0,1,10,34,41,3.4,0.8,20,4,1,0,1,3,55,1,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,4
Jarome_Luai_Panthers,321,12,129,7,Halfback,80.0,4,0,1,2,1,0.667,0,48,18,128,0,26,1,0,0,0,4,0,3,2.57,2,8,0,2,13,48,63,2.67,0.762,16,2,3,0,0,6,162,0,3,1,0,0,0,4,3,0,0,0,0,0,80.0,,5
Trent_Merrin_Panthers,546,12,129,8,Prop,41.0,0,0,0,0,0,,0,29,14,134,0,48,0,1,0,0,2,14,9,3.4,0,0,0,3,1,2,16,0.14,0.667,18,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11,18.28,6
Sione_Katoa_Panthers,338,12,129,9,Hooker,55.0,0,0,0,0,0,,0,31,3,18,0,9,0,0,0,0,0,0,1,5.2,3,18,0,0,3,55,60,18.33,0.972,35,1,0,0,0,3,79,0,0,1,0,0,0,1,1,0,2,0,0,0,55.18,,7
James_Tamou_Panthers,330,12,129,10,Prop,40.0,0,0,0,0,0,,0,60,9,134,28,41,2,0,0,0,3,7,8,3.05,0,0,0,1,0,0,9,0,0.966,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.44,13.48,6
Viliame_Kikau_Panthers,342,12,129,11,2nd Row,80.0,0,0,0,0,0,,0,76,17,206,0,96,1,0,0,0,8,13,11,3.42,1,7,0,2,0,3,18,0.18,0.794,27,3,4,0,0,1,27,1,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,8
Isaah_Yeo_Panthers,545,12,129,12,2nd Row,69.0,0,0,0,0,0,,0,43,11,121,0,53,0,0,0,0,1,11,11,2.91,0,0,0,0,1,4,15,0.36,0.878,36,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66.12,2.4,8
