,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Billy_Slater_7,568.0,7,462,1,Fullback,80:00,0,0,0,0,0,0,0,28,13,105,50,38,1,1,1,0,2,0,11,3.19s,3,15,0,1,0,21,36,1.62,33.3%,2,2,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,0
1,Suliasi_Vunivalu_7,185.0,7,462,2,Winger,80:00,8,2,0,0,0,0,0,26,8,89,25,29,1,0,0,0,0,0,5,4.39s,0,0,0,2,0,1,13,0.13,57.1%,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80:00,0
2,Cheyse_Blair_7,623.0,7,462,3,Centre,80:00,8,2,0,0,0,0,0,51,14,118,0,27,1,1,0,0,4,1,11,3.03s,0,0,0,0,0,1,16,0.07,83.3%,10,2,0,0,0,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,80:00,0
3,Curtis_Scott_7,177.0,7,462,4,Centre,80:00,4,1,0,0,0,0,0,32,7,59,0,10,1,0,0,0,1,0,5,3.86s,0,0,0,0,0,3,9,0.43,93.3%,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
4,Josh_Addo-carr_7,179.0,7,462,5,Winger,80:00,0,0,0,0,0,0,0,24,15,95,14,29,1,0,1,0,3,3,12,2.83s,1,3,0,0,0,3,19,0.2,100%,2,0,0,0,3,1,14,0,0,0,0,0,0,3,3,0,1,0,0,0,80:00,0
5,Cameron_Munster_7,175.0,7,462,6,Five-Eighth,80:00,1,0,0,0,0,0,1,63,11,105,0,42,0,1,0,0,7,0,7,3.24s,0,0,0,1,7,30,48,2.73,82.4%,14,1,2,0,0,8,220,0,0,3,0,0,1,0,0,0,0,0,0,0,80:00,0
6,Jesse_Bromwich_7,164.0,7,462,8,Prop,55:00,0,0,0,0,0,0,0,42,15,142,33,47,0,0,0,0,1,10,14,3.34s,0,0,0,0,0,3,18,0.2,96.7%,29,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25:49,28:39
7,Cameron_Smith_7,159.0,7,462,9,Hooker,80:00,8,0,3,5,1,66.67%,0,45,1,1,0,0,0,0,0,0,0,1,1,8.12s,0,0,0,0,11,103,106,103,90.5%,38,3,1,0,1,5,168,0,0,1,0,0,0,0,0,0,2,0,0,0,80:00,0
8,Tim_Glasby_7,0.0,7,462,10,Prop,33:00,0,0,0,0,0,0,0,19,7,56,0,23,0,0,0,0,1,7,7,3.1s,0,0,0,0,0,0,7,0,88.2%,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26:46,06:27
9,Felise_Kaufusi_7,162.0,7,462,11,2nd Row,80:00,0,0,0,0,0,0,0,57,12,102,0,43,0,1,1,0,0,12,10,2.9s,0,0,0,0,0,5,17,0.42,100%,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
