,index,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two
0,Justin_Hodges_1,1699,1,1251,1,Fullback,80:00,0,0,0,0,0,0,0,23,15,107,47,35,0,2,2,0,1,0,0,0,4,33,0,1,2,15,32,1,33.3%,2,2,2,0,6,1,21,1,0,1,0,0,0,0,1,0,0,0,0,0,80:00,0
1,Daniel_Vidot_1,2256,1,1251,2,Winger,80:00,4,1,0,0,0,0,0,30,17,192,22,64,2,0,0,0,4,4,0,0,0,0,0,0,0,2,20,0.12,100%,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
2,Jack_Reed_1,1698,1,1251,3,Centre,11:00,0,0,0,0,0,0,0,16,6,56,0,21,0,0,0,0,0,1,0,0,1,12,0,1,0,1,8,0.17,80%,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,0
3,Dale_Copley_1,2195,1,1251,4,Centre,80:00,0,0,0,0,0,0,0,12,6,61,0,31,0,0,0,0,2,0,0,0,0,0,0,0,1,1,7,0.17,87.5%,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80:00,0
4,Lachlan_Maranta_1,1700,1,1251,5,Winger,80:00,0,0,0,0,0,0,0,3,6,25,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.33,100%,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80:00,0
5,Ben_Barba_1,2314,1,1251,6,Five-Eighth,80:00,0,0,0,0,0,0,0,29,5,42,0,24,0,0,0,0,2,0,0,0,1,13,0,2,0,20,31,4,84.2%,16,3,0,0,0,4,118,2,1,0,0,1,0,0,0,0,0,0,0,0,80:00,0
6,Ben_Hunt_1,1704,1,1251,7,Halfback,80:00,8,2,0,0,0,0,0,78,8,63,0,3,2,1,1,0,3,0,0,0,0,0,0,1,5,22,34,2.75,84.4%,27,3,2,0,0,7,208,0,1,1,0,0,1,0,0,0,1,0,0,0,80:00,0
7,Josh_Mcguire_1,501,1,1251,8,Prop,62:00,0,0,0,0,0,0,0,37,17,159,15,59,0,0,0,0,0,16,0,0,0,0,0,0,0,1,19,0.06,89.7%,35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62:00,0
8,Andrew_Mccullough_1,3,1,1251,9,Hooker,80:00,0,0,0,0,0,0,0,61,4,61,0,18,1,1,1,0,0,0,0,0,4,61,0,0,5,96,97,24,92.5%,49,3,1,0,0,2,78,0,0,0,0,0,0,0,0,0,2,0,0,0,80:00,0
9,Corey_Parker_1,1703,1,1251,10,Prop,76:00,10,0,5,5,0,100%,0,48,18,170,15,70,0,0,0,0,0,17,0,0,0,0,0,1,1,4,22,0.22,85.4%,35,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76:00,0
