,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
James_Tedesco_Roosters,432,15,241,1,Fullback,80.0,0,0,0,0,0,,0,62,16,229,102,32,1,0,0,0,10,0,14,3.74,2,23,0,2,3,7,25,0.44,0.667,4,2,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,1
Daniel_Tupou_Roosters,431,15,241,2,Winger,80.0,0,0,0,0,0,,0,26,19,154,18,50,0,0,1,0,1,2,19,2.59,0,0,0,1,0,0,20,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Joseph_Manu_Roosters,433,15,241,4,Centre,80.0,0,0,0,0,0,,0,17,9,73,0,26,0,0,0,0,0,0,7,3.14,1,7,0,1,0,4,13,0.44,0.75,12,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,3
Latrell_Mitchell_Roosters,486,15,241,6,Centre,80.0,12,1,3,3,1,0.8,0,37,8,62,0,11,0,0,0,0,3,0,3,2.51,0,0,0,1,2,2,10,0.25,1.0,6,0,0,0,0,1,6,0,0,1,0,0,0,1,1,0,0,0,0,0,80.0,,3
Matt_Ikuvalu_Roosters,436,15,241,5,Winger,80.0,0,0,0,0,0,,0,31,19,170,43,39,0,0,0,0,5,0,18,3.48,0,0,0,0,0,4,26,0.21,1.0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,80.0,,2
Lachlan_Lam_Roosters,434,15,241,17,Five-Eighth,80.0,0,0,0,0,0,,0,34,9,93,0,12,1,0,0,0,1,0,6,3.23,0,0,0,1,2,17,25,1.89,0.895,17,1,1,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,80.0,,4
Cooper_Cronk_Roosters,430,15,241,7,Halfback,80.0,0,0,0,0,0,,0,50,13,75,0,2,0,0,0,0,1,0,4,3.52,0,0,0,0,1,43,69,3.31,0.739,17,4,2,0,0,23,585,2,9,4,0,1,1,1,0,0,0,0,0,0,80.0,,5
Jared_Waerea-hargreaves_Roosters,414,15,241,8,Prop,48.0,0,0,0,0,0,,0,28,19,183,10,58,0,0,0,0,1,18,18,3.41,0,0,0,1,2,2,21,0.11,0.867,13,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,27.48,19.34,6
Jake_Friend_Roosters,413,15,241,9,Hooker,69.0,0,0,0,0,0,,0,66,7,51,0,6,0,1,1,0,0,2,3,3.41,4,37,0,0,0,118,118,16.86,0.959,47,2,0,0,0,2,49,0,0,1,1,0,0,0,0,0,0,0,0,0,62.56,6.28,7
Siosiua_Taukeiaho_Roosters,421,15,241,10,Prop,54.0,4,1,0,0,0,,0,77,20,272,78,79,1,0,0,0,5,16,18,3.14,0,0,0,1,0,3,23,0.15,0.958,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,23.44,6
