,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Tom_Trbojevic_Sea Eagles,151,6,48,1,Fullback,80.0,0,0,0,0,0,,0,57,20,192,40,46,1,1,0,0,8,1,13,4.01,0,0,0,2,3,11,30,0.55,0.8,12,3,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,80.0,,1
Brad_Parker_Sea Eagles,139,6,48,2,Winger,68.0,4,1,0,0,0,,0,19,7,52,4,19,0,0,0,0,0,2,7,3.66,0,0,0,0,0,0,9,0,1.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.56,39.57,2
Dylan_Walker_Sea Eagles,143,6,48,3,Centre,80.0,0,0,0,0,0,,0,15,10,96,0,34,0,0,0,0,0,5,9,3.55,0,0,0,0,0,3,14,0.3,0.733,11,3,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,3
Brian_Kelly_Sea Eagles,507,6,48,4,Centre,80.0,0,0,0,0,0,,0,8,5,36,0,8,0,0,1,0,2,0,4,3.03,0,0,0,0,0,2,6,0.4,0.609,14,9,0,0,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0,80.0,,3
Akuila_Uate_Sea Eagles,508,6,48,5,Winger,80.0,0,0,0,0,0,,0,11,13,100,32,37,0,0,0,0,1,3,11,3.56,0,0,0,0,1,1,15,0.08,0.667,4,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,2
Lachlan_Croker_Sea Eagles,147,6,48,6,Five-Eighth,80.0,0,0,0,0,0,,0,25,6,47,0,10,1,0,0,0,1,0,6,3.71,0,0,0,0,6,22,31,3.67,0.833,15,3,0,0,0,3,99,0,1,0,0,0,0,0,0,0,0,0,0,0,80.0,,4
Daly_Cherry-evans_Sea Eagles,142,6,48,7,Halfback,80.0,4,0,2,2,0,1.0,0,48,6,76,4,14,0,0,0,0,5,0,4,2.98,3,57,0,0,3,27,40,4.5,0.818,18,3,1,0,1,8,184,1,4,2,0,0,0,1,0,0,0,0,0,0,80.0,,5
Addin_Fonua-blake_Sea Eagles,509,6,48,8,Prop,42.0,0,0,0,0,0,,0,22,7,94,21,36,0,0,0,0,3,6,6,3.24,0,0,0,0,0,2,9,0.29,0.692,18,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.57,22.09,6
Apisai_Koroisau_Sea Eagles,153,6,48,9,Hooker,66.0,0,0,0,0,0,,0,64,6,68,0,29,0,0,0,0,2,1,4,2.01,5,46,0,0,1,59,62,9.83,0.951,58,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.34,,7
Martin_Taupau_Sea Eagles,510,6,48,10,Prop,50.0,0,0,0,0,0,,0,51,13,119,20,37,0,0,0,0,3,12,9,3.38,0,0,0,3,1,3,16,0.23,0.967,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.09,30.21,6
Joel_Thompson_Sea Eagles,511,6,48,11,2nd Row,80.0,4,1,0,0,0,,0,65,10,94,0,34,1,0,0,0,5,10,9,3.91,0,0,0,1,0,1,12,0.1,0.938,30,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Jack_Gosiewski_Sea Eagles,593,6,48,12,2nd Row,80.0,0,0,0,0,0,,0,35,7,89,0,31,0,0,0,0,1,7,7,3.49,0,0,0,0,1,0,8,0,0.912,31,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80.0,,8
Jake_Trbojevic_Sea Eagles,512,6,48,13,Lock,72.0,0,0,0,0,0,,0,60,14,102,0,27,0,1,0,0,0,8,8,3.18,0,0,0,0,0,11,21,0.79,0.981,51,0,1,0,0,1,38,0,0,0,0,0,0,1,1,0,1,0,0,0,57.5,14.19,9
Shaun_Lane_Sea Eagles,514,6,48,15,Interchange,34.0,0,0,0,0,0,,0,28,7,82,19,37,0,0,0,0,0,6,6,2.82,0,0,0,0,1,0,7,0,1.0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,27.39,6.15,10
Lloyd_Perrett_Sea Eagles,571,6,48,16,Interchange,23.0,0,0,0,0,0,,0,17,3,29,0,7,0,0,0,0,0,3,2,2.54,0,0,0,0,0,0,3,0,0.84,21,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.15,,10
